Kd-Nr;Firma;Ansprechpartner;E-Mail;Straße;PLZ;Ort;Land;Telefon;Zahlungsziel
101;DuckFan Paris SARL;Jean Durand;jean@duckfan-paris.example;12 Rue du Canard;75001;Paris;france;+33 1 23 45 67 89;30 Tage
102;QuackShop London;;orders@quackshop.co.uk;42 Mallard Lane;SW1A 1AA;London;GB;+44 20 1234 5678;
103;Enten-Welt GmbH;Hans Müller;hans@entenwelt.example;Entenstraße 7;10115;Berlin;DE;+49 30 9876543;60 Tage
104;DuckFan Paris SARL;J. Durand;j.durand@duckfan-paris.example;12 Rue du Canard;75001;Paris;FR;;45 jours
105;Quack & Co. KG;Fritz Federleicht;fritz@quack-co.example;Am Teich 3;80331;München;DE;+49 89 1111222;30 Tage
106;Le Canard Doré;Marie Leblanc;marie@canard-dore.example;8 Avenue des Palmipèdes;69001;Lyon;FR;+33 4 56 78 90 12;45 jours
107;Duckingham Palace Ltd;Sir Reginald Featherbottom III;reggie@duckingham.example;1 Pond Street;EC1A 1BB;London;GB;+44 20 7777 8888;60 days
108;Patitos Felices S.L.;Carlos Pato;carlos@patitos.example;Calle del Estanque 14;28001;Madrid;ES;+34 91 234 5678;30 días
109;Anatre Volanti S.r.l.;Giuseppe Papero;giuseppe@anatre-volanti.example;Via del Lago 22;20121;Milano;IT;+39 02 9876 5432;60 giorni
110;Kačky Express s.r.o.;Tomáš Kačer;tomas@kacky-express.example;Rybníková 5;11000;Praha;CZ;+420 222 333 444;30 dní
111;De Eendenfarm BV;Pieter van der Vijver;pieter@eendenfarm.example;Grachtenweg 88;1012;Amsterdam;NL;+31 20 555 6677;30 dagen
112;Quack Attack Inc.;Bob Mallard;bob@quackattack.example;555 Pond Drive;10001;New York;US;+1 212-555-0101;net 30
113;Coin-Coin Logistics;Amélie Caneton;amelie@coin-coin.example;3 Impasse du Marais;33000;Bordeaux;FR;+33 5 67 89 01 23;
114;Enten-Express AG;Klara Schnabel;klara@enten-express.example;Seestraße 12;8001;Zürich;CH;+41 44 333 2211;45 Tage
115;Lucky Duck Trading;Chen Wei;wei@luckyduck.example;88 Jade Pond Road;100000;Beijing;CN;+86 10 8888 7777;
115b;;Mystery Person;mystery-no-at-sign.example;Nowhere St 0;00000;???;QUACK;;
116;Pato Loco Ltda;Ana Bico;ana@patoloco.example;Rua do Lago 42;01310-100;São Paulo;BR;+55 11 9876-5432;60 dias
117;Les Canards Joyeux;Philippe Bec;philippe@canards-joyeux.example;17 Quai des Barboteurs;44000;Nantes;FR;+33 2 40 11 22 33;30 jours
118;Waddle & Sons;Arthur Webfoot;arthur@waddlesons.example;12 Riverside Walk;BS1 4DJ;Bristol;GB;+44 117 222 3344;
119;Stockente Deluxe OHG;Bernd Flügel;bernd@stockente-deluxe.example;Uferpromenade 1;20095;Hamburg;DE;+49 40 5555 6666;30 Tage
120;Duck Dynasty Imports;Johnny Quacker;johnny@duckdynasty.example;789 Bayou Lane;70801;Baton Rouge;US;+1 225-555-0202;net 45
121;Kwak Kwak BV;Jan de Eend;jan@kwakkwak.example;Polderstraat 7;3011;Rotterdam;NL;+31 10 444 5566;30 dagen
122;Canard Turbo SARL;Luc Plongeur;luc@canard-turbo.example;5 Rue de la Rivière;13001;Marseille;FR;+33 4 91 22 33 44;
123;Papere & Paperi SpA;Francesca Becco;francesca@papere-paperi.example;Piazza del Laghetto 3;00186;Roma;IT;+39 06 1234 5678;90 giorni
124;Die Goldene Ente eG;Helga Watschel;helga@goldene-ente.example;Teichweg 9;50667;Köln;DE;+49 221 888 9999;60 Tage
125;Kachní Ráj a.s.;Petra Zobáková;petra@kacni-raj.example;Jezírková 12;60200;Brno;CZ;+420 511 222 333;
126;Andeby Trading ApS;Lars Andersen;lars@andeby.example;Andedam Allé 42;1000;København;DK;+45 33 44 55 66;30 dage
127;El Pato Veloz S.A.;María Estanque;maria@patoveloz.example;Av. del Humedal 100;08001;Barcelona;ES;+34 93 111 2233;60 días
128;Утиный Дом ООО;Иван Уткин;ivan@utkindom.example;ул. Пруда 15;101000;Москва;RU;+7 495 123 4567;
129;Quacksworth Global;Diana Featherstone;diana@quacksworth.example;Tower Bridge Road 7;SE1 2UP;London;GB;+44 20 3333 4444;45 days
130;Anka Ticaret A.Ş.;Mehmet Ördek;mehmet@anka-ticaret.example;Göl Caddesi 8;34110;İstanbul;TR;+90 212 555 6677;
131;Pato Real Lda;João Lagoa;joao@patoreal.example;Travessa do Charco 5;1100-200;Lisboa;PT;+351 21 888 7766;60 dias
132;Canards du Nord SARL;Brigitte Étang;brigitte@canards-nord.example;22 Rue des Marais;59000;Lille;FR;+33 3 20 11 22 33;30 jours
133;Ducktastic GmbH;Wolfgang Schwimmfuß;wolfgang@ducktastic.example;Weihergasse 4;1010;Wien;AT;+43 1 234 5678;45 Tage
134;Quack Shack NZ Ltd;Kiri Pond;kiri@quackshack.example;3 Lake Terrace;6011;Wellington;NZ;+64 4 888 9900;
135;Ankebansen AB;Sven Dansen;sven@ankebansen.example;Sjövägen 15;11120;Stockholm;SE;+46 8 111 2233;30 dagar
136;Les Colverts Fous;Antoine Marécage;antoine@colverts-fous.example;9 Chemin de l'Étang;67000;Strasbourg;FR;+33 3 88 44 55 66;
137;Mighty Duck Co.;Bruce Wingman;bruce@mightyduck.example;100 Southern Pond Rd;2000;Sydney;AU;+61 2 9999 8888;net 30
138;Kaczka Express Sp.z.o.o;Agnieszka Staw;agnieszka@kaczka.example;ul. Stawowa 11;00-001;Warszawa;PL;+48 22 333 4455;45 dni
139;Pato Bonito S.A. de C.V.;Roberto Laguna;roberto@patobonito.example;Av. del Lago 200;06600;Ciudad de México;MX;+52 55 1234 5678;30 días
140;Quack Quack Oy;Matti Sorsa;matti@quackquack.example;Lammikontie 3;00100;Helsinki;FI;+358 9 111 2233;14 päivää
140b;Ghost Duck GmbH;;not-an-email;Geisterweg 0;00000;Nirgendwo;XYZ;;dreißig
140c;;;totally broken;;;;;DUCK;nope
141;De Woeste Eend BVBA;Sofie Vijver;sofie@woeste-eend.example;Vijverstraat 18;1000;Brussel;BE;+32 2 444 5566;30 dagen
142;Drake & Drake Ltd;Gregory Duckworth;gregory@drakedrake.example;5 Canal Basin;EH1 1QQ;Edinburgh;GB;+44 131 222 3344;
143;Patos Unidos Ltda;Fernanda Ribeiro;fernanda@patosunidos.example;Av. Beira-Lago 77;30130-000;Belo Horizonte;BR;+55 31 2222-3333;
144;Entenhaus KG;Dieter Flügelschlag;dieter@entenhaus.example;Badeteichweg 2;70173;Stuttgart;DE;+49 711 444 5555;30 Tage
145;Coin-Coin Rapide;Thierry Roseau;thierry@coin-coin-rapide.example;14 Boulevard des Oiseaux;31000;Toulouse;FR;+33 5 61 22 33 44;45 jours
146;Quacker Jack Inc.;Samantha Pond;sam@quackerjack.example;42 Wetlands Blvd;94102;San Francisco;US;+1 415-555-0303;net 60
147;アヒル商事;田中太郎;tanaka@ahiru-shoji.example;池袋1-2-3;171-0014;東京;JP;+81 3 5555 6666;
148;Duck à l'Orange Bistro;Olivier Jus;olivier@duck-orange.example;6 Place du Marché;21000;Dijon;FR;+33 3 80 11 22 33;
149;Entenwunder Handel;Gisela Teichmuschel;gisela@entenwunder.example;Moorweg 14;30159;Hannover;DE;+49 511 777 8888;60 Tage
150;Happy Quackers Pty;Shane Billabong;shane@happyquackers.example;8 Creek Road;4000;Brisbane;AU;+61 7 3333 4444;
